datetime,open,high,low,close,volume,ema_10,ema_20,rsi_14,bb_middle,bb_upper,bb_lower
2025-02-03,114.75,130.37,113.010002,129.84,1369686400,134.17093750322707,132.44941595066786,46.97168333641793,136.244499225,151.04249928098028,121.44649916901973
2025-02-10,130.089996,139.25,129.080002,138.85001,949079700,135.02167795718577,133.05899633631853,45.04403420139601,137.116999725,150.18655626382534,124.04744318617466
2025-02-17,141.27,143.44,134.029999,134.42999,758833800,134.91409832860654,133.18956716143106,45.678301427028714,137.59249922499998,149.42727791955295,125.75772053044702
2025-02-24,136.56,138.59,116.4,124.92,1677630500,133.09698954158716,132.40198933653286,41.206239552568526,137.098499225,150.18290458118815,124.01409386881187
2025-03-03,123.51,123.7,107.56,112.69,1756820000,129.38662780675313,130.52465701876784,37.870161755853886,135.832999225,152.85397840094925,118.81202004905077
2025-03-10,109.9,121.88,104.77,121.67,1621837200,127.98360456916164,129.68135635031376,40.57194905638691,134.839499725,152.75403487460096,116.92496457539902
2025-03-17,122.74,122.89,114.54,117.7,1343942800,126.11385828385953,128.54027479314104,42.188238990231476,133.954500225,153.43298511636436,114.47601533363563
2025-03-24,119.88,122.22,109.07,109.67,1156137600,123.12406586861233,126.74310576522285,38.974541630774105,132.05650022499998,153.24673433106514,110.86626611893482
2025-03-31,105.13,111.98,92.11,94.31,1613471100,117.8851448015919,123.65423854948733,33.130536545285395,129.67300022499998,156.21224460576076,103.1337558442392
2025-04-07,87.46,115.099998,86.62,110.93,2451432700,116.62057301948428,122.44240630667902,37.643679981774255,128.12200022500002,155.25922617170622,100.98477427829383
2025-04-14,114.11,114.29,100.050003,101.49,1181522200,113.86955974321441,120.44693903937626,37.40117314770525,126.284000225,155.43753238956583,97.13046806043417
2025-04-21,98.77,111.92,95.040001,111.010002,1248911600,113.34964015353906,119.54818313086423,40.749720835666224,124.712500325,153.5862601599045,95.8387404900955
2025-04-28,109.69,115.4,104.080002,114.5,1039513700,113.55879648925924,119.06740378506763,40.160953091539106,123.725000325,152.5762510362103,94.8737496137897
2025-05-05,112.91,117.68,110.82,117.059998,494319654,114.1953785821212,118.87622228172785,48.77552617395272,122.84300022500001,151.3581405273701,94.32785992262993
